material_id  formula  band_gap  symmetry
mp-696360  Ca2Cu2Si3(HO3)4  0.5940999999999996  crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='P2_1/m' number=11 point_group='2/m' symprec=0.1 version='2.0.2'
mp-1211776  KTiSi3O11  0.5903  crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='P2_1/c' number=14 point_group='2/m' symprec=0.1 version='2.0.2'
mp-2713833  Na6Mg4Si3Sn4(S3O16)3  0.5345999999999997  crystal_system=<CrystalSystem.tri: 'Triclinic'> symbol='P1' number=1 point_group='1' symprec=0.1 version='2.0.2'
mp-2713586  Na18Ca20Nb4Si3(S11O48)3  0.5026999999999999  crystal_system=<CrystalSystem.tri: 'Triclinic'> symbol='P1' number=1 point_group='1' symprec=0.1 version='2.0.2'
mp-1182601  Ca2Cu2Si3(HO3)4  0.5920000000000001  crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='P2_1/m' number=11 point_group='2/m' symprec=0.1 version='2.0.2'
mp-1173811  Na4Al3Si3NO15  0.5025  crystal_system=<CrystalSystem.tri: 'Triclinic'> symbol='P1' number=1 point_group='1' symprec=0.1 version='2.0.2'
mp-1172462  Cr2(SiO4)3  0.5603  crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Ia-3d' number=230 point_group='m-3m' symprec=0.1 version='2.0.2'
mp-2230766  MgMn2(SiO3)4  0.5550999999999999  crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='C2' number=5 point_group='2' symprec=0.1 version='2.0.2'
mp-1233228  MgSc4(Si2O7)2  0.5823  crystal_system=<CrystalSystem.trig: 'Trigonal'> symbol='R3m' number=160 point_group='3m' symprec=0.1 version='2.0.2'
mp-734012  K2LuSi4O11  0.5249  crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='P2_1/m' number=11 point_group='2/m' symprec=0.1 version='2.0.2'
mp-1266531  Ca3Si4(MoO7)2  0.5236000000000001  crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='C2/c' number=15 point_group='2/m' symprec=0.1 version='2.0.2'
mp-1235393  Sr2LiV2(Si2O7)2  0.5660999999999996  crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='Pm' number=6 point_group='m' symprec=0.1 version='2.0.2'
mp-1263117  Zn3Si4(AgO7)2  0.5735999999999999  crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='C2/c' number=15 point_group='2/m' symprec=0.1 version='2.0.2'
mp-758359  Li2CrSi4O11  0.5257999999999998  crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='I4/m' number=87 point_group='4/m' symprec=0.1 version='2.0.2'
mp-867649  LiTi(Si2O5)2  0.5326999999999993  crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Pnc2' number=30 point_group='mm2' symprec=0.1 version='2.0.2'
mp-1211221  KSi4O9  0.5781000000000001  crystal_system=<CrystalSystem.hex_: 'Hexagonal'> symbol='P6/mmm' number=191 point_group='6/mmm' symprec=0.1 version='2.0.2'
mp-1214160  Ca2Al(SiO3)4  0.5954000000000002  crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Pmna' number=53 point_group='mmm' symprec=0.1 version='2.0.2'
mp-2716089  Na6Mg2Si5Ge6S7O48  0.5599000000000003  crystal_system=<CrystalSystem.tri: 'Triclinic'> symbol='P1' number=1 point_group='1' symprec=0.1 version='2.0.2'
mp-2716074  Na14Mg6Si5Ge2S7O48  0.5142000000000002  crystal_system=<CrystalSystem.tri: 'Triclinic'> symbol='P1' number=1 point_group='1' symprec=0.1 version='2.0.2'
mp-1203161  Ca10Si5(ClO10)2  0.5481000000000003  crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='C2/c' number=15 point_group='2/m' symprec=0.1 version='2.0.2'
mp-1211795  KNaSi5SnW3O13  0.5925999999999996  crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='C2/m' number=12 point_group='2/m' symprec=0.1 version='2.0.2'
mp-1202111  CaAl2(Si3O10)2  0.5963  crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='P2_1' number=4 point_group='2' symprec=0.1 version='2.0.2'
mp-1195621  Rb2U(Si2O5)3  0.5691999999999995  crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='C2/c' number=15 point_group='2/m' symprec=0.1 version='2.0.2'
mp-1214355  Ca(SiO2)8  0.5343  crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='Pc' number=7 point_group='m' symprec=0.1 version='2.0.2'
mp-1227550  Ca4MnFe11Si8(HO9)4  0.5691000000000002  crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='Pm' number=6 point_group='m' symprec=0.1 version='2.0.2'
mp-1200158  K2BaNa2Ti4(SiO4)8  0.5992  crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='Cm' number=8 point_group='m' symprec=0.1 version='2.0.2'
mp-2716209  Na18Nb4Zn8Si9(SO8)9  0.5216000000000001  crystal_system=<CrystalSystem.tri: 'Triclinic'> symbol='P1' number=1 point_group='1' symprec=0.1 version='2.0.2'
mp-1214270  Ca4Be2Al2Si9O28  0.5991  crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Cmcm' number=63 point_group='mmm' symprec=0.1 version='2.0.2'
mp-1224568  K2Mn5Si12O31  0.5683999999999998  crystal_system=<CrystalSystem.hex_: 'Hexagonal'> symbol='P-62c' number=190 point_group='-6m2' symprec=0.1 version='2.0.2'
mp-686232  Na7Al11Si13(AgO12)4  0.5483  crystal_system=<CrystalSystem.tri: 'Triclinic'> symbol='P1' number=1 point_group='1' symprec=0.1 version='2.0.2'

